Asset,frequency,start,end,Record_exist,Record_missing
AU200AUD,Daily,29/04/2015 00:00,06/08/2019 00:00,1090,256
AU200AUD,Hourly,05/03/2019 00:00,06/08/2019 23:00,2074,569
AU200AUD,Hours_4,28/08/2018 16:00,06/08/2019 20:00,1420,45
AU200AUD,Minutely,09/05/2019 06:31,06/08/2019 23:58,6244,15168
AU200AUD,Minutes_15,23/04/2019 08:45,06/08/2019 23:45,2117,1632
AU200AUD,Minutes_30,04/04/2019 10:30,06/08/2019 23:30,1958,1569
AU200AUD,Minutes_5,30/04/2019 12:45,06/08/2019 23:55,4099,3907
AU200AUD,Weekly,21/03/2004 00:00,04/08/2019 00:00,801,2
AUDCAD,Daily,28/05/2015 00:00,07/08/2019 00:00,1087,239
AUDCAD,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
AUDCAD,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
AUDCAD,Minutely,05/08/2019 15:57,07/08/2019 02:45,2080,9
AUDCAD,Minutes_15,24/07/2019 00:00,07/08/2019 02:45,972,0
AUDCAD,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
AUDCAD,Minutes_5,29/07/2019 02:40,07/08/2019 02:45,2018,0
AUDCAD,Weekly,06/06/2004 00:00,04/08/2019 00:00,792,0
AUDCHF,Daily,20/08/2015 00:00,07/08/2019 00:00,1027,239
AUDCHF,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
AUDCHF,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
AUDCHF,Minutely,05/08/2019 14:55,07/08/2019 02:43,2071,78
AUDCHF,Minutes_15,24/07/2019 00:00,07/08/2019 02:30,971,0
AUDCHF,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
AUDCHF,Minutes_5,29/07/2019 02:00,07/08/2019 02:40,2015,10
AUDCHF,Weekly,06/06/2004 00:00,04/08/2019 00:00,792,0
AUDHKD,Daily,20/08/2015 00:00,07/08/2019 00:00,1027,239
AUDHKD,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
AUDHKD,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
AUDHKD,Minutely,05/08/2019 14:41,07/08/2019 02:44,2076,88
AUDHKD,Minutes_15,24/07/2019 00:00,07/08/2019 02:30,971,0
AUDHKD,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
AUDHKD,Minutes_5,29/07/2019 02:35,07/08/2019 02:40,2016,2
AUDHKD,Weekly,06/06/2004 00:00,04/08/2019 00:00,792,0
AUDJPY,Daily,28/05/2015 00:00,07/08/2019 00:00,1087,239
AUDJPY,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
AUDJPY,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
AUDJPY,Minutely,05/08/2019 16:03,07/08/2019 02:45,2079,4
AUDJPY,Minutes_15,24/07/2019 00:00,07/08/2019 02:45,972,0
AUDJPY,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
AUDJPY,Minutes_5,29/07/2019 02:40,07/08/2019 02:45,2018,0
AUDJPY,Weekly,06/06/2004 00:00,04/08/2019 00:00,792,0
AUDNZD,Daily,28/05/2015 00:00,07/08/2019 00:00,1087,239
AUDNZD,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
AUDNZD,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
AUDNZD,Minutely,05/08/2019 15:59,07/08/2019 02:45,2068,19
AUDNZD,Minutes_15,24/07/2019 00:00,07/08/2019 02:45,972,0
AUDNZD,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
AUDNZD,Minutes_5,29/07/2019 02:35,07/08/2019 02:45,2016,3
AUDNZD,Weekly,09/05/2004 00:00,04/08/2019 00:00,796,0
AUDSGD,Daily,28/05/2015 00:00,07/08/2019 00:00,1087,239
AUDSGD,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
AUDSGD,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
AUDSGD,Minutely,05/08/2019 15:28,07/08/2019 02:44,2078,39
AUDSGD,Minutes_15,24/07/2019 00:00,07/08/2019 02:30,971,0
AUDSGD,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
AUDSGD,Minutes_5,29/07/2019 02:40,07/08/2019 02:40,2016,1
AUDSGD,Weekly,06/06/2004 00:00,04/08/2019 00:00,792,0
AUDUSD,Daily,28/05/2015 00:00,07/08/2019 00:00,1087,239
AUDUSD,Hourly,20/02/2019 08:00,07/08/2019 02:00,2110,744
AUDUSD,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
AUDUSD,Minutely,05/08/2019 11:33,07/08/2019 02:43,2064,287
AUDUSD,Minutes_15,24/07/2019 00:00,07/08/2019 02:30,971,0
AUDUSD,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
AUDUSD,Minutes_5,26/07/2019 23:45,07/08/2019 02:40,2006,46
AUDUSD,Weekly,12/05/2002 00:00,04/08/2019 00:00,900,0
BCOUSD,Daily,07/05/2015 00:00,07/08/2019 00:00,1102,239
BCOUSD,Hourly,13/02/2019 04:00,07/08/2019 00:00,2419,557
BCOUSD,Hours_4,21/08/2018 12:00,07/08/2019 00:00,1487,10
BCOUSD,Minutely,18/04/2019 18:18,07/08/2019 00:58,11416,29914
BCOUSD,Minutes_15,04/04/2019 18:00,07/08/2019 00:45,3249,1715
BCOUSD,Minutes_30,18/03/2019 15:00,07/08/2019 00:30,2662,1482
BCOUSD,Minutes_5,10/04/2019 14:55,07/08/2019 00:55,6408,5600
BCOUSD,Weekly,24/08/2003 00:00,04/08/2019 00:00,833,0
BTCUSD,Daily,04/07/2016 00:00,07/08/2019 00:00,1027,7
BTCUSD,Hourly,05/06/2019 00:00,07/08/2019 02:00,1074,11
BTCUSD,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
BTCUSD,Minutely,05/08/2019 15:59,07/08/2019 02:45,2081,6
BTCUSD,Minutes_15,23/07/2019 23:00,07/08/2019 02:45,968,8
BTCUSD,Minutes_30,09/07/2019 05:00,07/08/2019 02:30,996,9
BTCUSD,Minutes_5,29/07/2019 02:40,07/08/2019 02:45,2006,12
BTCUSD,Weekly,03/01/2016 00:00,04/08/2019 00:00,188,0
CADCHF,Daily,28/05/2015 00:00,07/08/2019 00:00,1087,239
CADCHF,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
CADCHF,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
CADCHF,Minutely,05/08/2019 15:04,07/08/2019 02:45,2070,72
CADCHF,Minutes_15,24/07/2019 00:00,07/08/2019 02:45,972,0
CADCHF,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
CADCHF,Minutes_5,29/07/2019 02:10,07/08/2019 02:45,2018,6
CADCHF,Weekly,06/06/2004 00:00,04/08/2019 00:00,792,0
CADHKD,Daily,20/08/2015 00:00,07/08/2019 00:00,1027,239
CADHKD,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
CADHKD,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
CADHKD,Minutely,05/08/2019 15:08,07/08/2019 02:45,2077,61
CADHKD,Minutes_15,24/07/2019 00:00,07/08/2019 02:45,972,0
CADHKD,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
CADHKD,Minutes_5,29/07/2019 02:35,07/08/2019 02:45,2016,3
CADHKD,Weekly,06/06/2004 00:00,04/08/2019 00:00,792,0
CADJPY,Daily,21/05/2015 00:00,07/08/2019 00:00,1092,239
CADJPY,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
CADJPY,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
CADJPY,Minutely,05/08/2019 16:12,07/08/2019 02:45,2068,6
CADJPY,Minutes_15,24/07/2019 00:00,07/08/2019 02:45,972,0
CADJPY,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
CADJPY,Minutes_5,29/07/2019 02:40,07/08/2019 02:45,2018,0
CADJPY,Weekly,06/06/2004 00:00,04/08/2019 00:00,792,0
CADSGD,Daily,20/08/2015 00:00,07/08/2019 00:00,1027,239
CADSGD,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
CADSGD,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
CADSGD,Minutely,05/08/2019 15:43,07/08/2019 02:45,2077,26
CADSGD,Minutes_15,24/07/2019 00:00,07/08/2019 02:45,972,0
CADSGD,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
CADSGD,Minutes_5,29/07/2019 02:35,07/08/2019 02:45,2018,1
CADSGD,Weekly,06/06/2004 00:00,04/08/2019 00:00,792,0
CH20CHF,Daily,22/02/2013 00:00,05/07/2017 00:00,1024,202
CH20CHF,Hourly,23/11/2016 10:00,05/07/2017 16:00,1024,0
CH20CHF,Hours_4,11/03/2016 08:00,05/07/2017 16:00,1024,396
CH20CHF,Minutely,03/03/2017 13:41,05/07/2017 16:32,2048,0
CH20CHF,Minutes_15,09/02/2017 19:30,05/07/2017 16:30,1024,0
CH20CHF,Minutes_30,16/01/2017 16:30,05/07/2017 16:30,1024,0
CH20CHF,Minutes_5,17/02/2017 18:45,05/07/2017 16:30,2048,0
CH20CHF,Weekly,23/03/2003 00:00,02/07/2017 00:00,730,16
CHFHKD,Daily,20/08/2015 00:00,07/08/2019 00:00,1027,239
CHFHKD,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
CHFHKD,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
CHFHKD,Minutely,05/08/2019 15:09,07/08/2019 02:44,2074,62
CHFHKD,Minutes_15,23/07/2019 23:45,07/08/2019 02:30,971,1
CHFHKD,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
CHFHKD,Minutes_5,29/07/2019 02:20,07/08/2019 02:40,2016,5
CHFHKD,Weekly,06/06/2004 00:00,04/08/2019 00:00,792,0
CHFJPY,Daily,20/08/2015 00:00,07/08/2019 00:00,1027,239
CHFJPY,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
CHFJPY,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
CHFJPY,Minutely,05/08/2019 16:02,07/08/2019 02:45,2076,8
CHFJPY,Minutes_15,24/07/2019 00:00,07/08/2019 02:45,972,0
CHFJPY,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
CHFJPY,Minutes_5,29/07/2019 02:40,07/08/2019 02:45,2018,0
CHFJPY,Weekly,06/06/2004 00:00,04/08/2019 00:00,792,0
CHFZAR,Daily,28/05/2015 00:00,07/08/2019 00:00,1087,239
CHFZAR,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
CHFZAR,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
CHFZAR,Minutely,05/08/2019 16:04,07/08/2019 02:45,2068,14
CHFZAR,Minutes_15,24/07/2019 00:00,07/08/2019 02:45,972,0
CHFZAR,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
CHFZAR,Minutes_5,29/07/2019 02:40,07/08/2019 02:45,2018,0
CHFZAR,Weekly,30/05/2004 00:00,04/08/2019 00:00,793,0
CN50USD,Daily,09/04/2015 00:00,06/08/2019 00:00,1106,254
CN50USD,Hourly,07/02/2019 19:00,06/08/2019 23:00,2388,668
CN50USD,Hours_4,30/07/2018 20:00,06/08/2019 20:00,1409,181
CN50USD,Minutely,22/04/2019 04:05,06/08/2019 23:43,10314,29284
CN50USD,Minutes_15,04/04/2019 09:45,06/08/2019 23:30,3099,1893
CN50USD,Minutes_30,20/03/2019 04:30,06/08/2019 23:30,2455,1612
CN50USD,Minutes_5,11/04/2019 05:55,06/08/2019 23:40,6096,5717
CN50USD,Weekly,04/09/2011 00:00,04/08/2019 00:00,409,5
CORNUSD,Daily,16/04/2015 00:00,06/08/2019 00:00,1089,266
CORNUSD,Hourly,21/02/2019 19:00,06/08/2019 21:00,2050,764
CORNUSD,Hours_4,27/08/2018 08:00,06/08/2019 20:00,1410,63
CORNUSD,Minutely,02/05/2019 19:42,06/08/2019 21:18,6195,21124
CORNUSD,Minutes_15,10/04/2019 17:00,06/08/2019 21:15,2093,2477
CORNUSD,Minutes_30,21/03/2019 08:00,06/08/2019 21:00,2029,1978
CORNUSD,Minutes_5,12/04/2019 21:10,06/08/2019 21:15,4089,7226
CORNUSD,Weekly,16/03/2003 00:00,04/08/2019 00:00,856,0
DE10YBEUR,Daily,24/04/2015 00:00,06/08/2019 00:00,1091,258
DE10YBEUR,Hourly,28/02/2019 07:00,06/08/2019 22:00,2060,647
DE10YBEUR,Hours_4,06/07/2018 08:00,06/08/2019 20:00,1426,263
DE10YBEUR,Minutely,08/05/2019 20:08,06/08/2019 22:58,6187,15732
DE10YBEUR,Minutes_15,18/04/2019 16:00,06/08/2019 22:45,2088,1916
DE10YBEUR,Minutes_30,03/04/2019 15:30,06/08/2019 22:30,1944,1619
DE10YBEUR,Minutes_5,26/04/2019 14:55,06/08/2019 22:55,4057,4484
DE10YBEUR,Weekly,09/03/2003 00:00,04/08/2019 00:00,857,0
DE30EUR,Daily,01/04/2015 00:00,06/08/2019 00:00,1099,266
DE30EUR,Hourly,08/02/2019 14:00,06/08/2019 22:00,2348,688
DE30EUR,Hours_4,19/06/2018 08:00,06/08/2019 20:00,1474,293
DE30EUR,Minutely,17/04/2019 15:44,06/08/2019 22:59,14860,27925
DE30EUR,Minutes_15,02/04/2019 04:00,06/08/2019 22:45,3103,2101
DE30EUR,Minutes_30,03/04/2019 18:30,06/08/2019 22:30,1944,1613
DE30EUR,Minutes_5,08/04/2019 20:55,06/08/2019 22:55,6993,5494
DE30EUR,Weekly,30/03/2003 00:00,04/08/2019 00:00,854,0
EU50EUR,Daily,28/04/2015 00:00,06/08/2019 00:00,1091,256
EU50EUR,Hourly,28/02/2019 05:00,06/08/2019 22:00,2060,649
EU50EUR,Hours_4,06/07/2018 08:00,06/08/2019 20:00,1426,263
EU50EUR,Minutely,08/05/2019 17:21,06/08/2019 22:58,6199,15887
EU50EUR,Minutes_15,18/04/2019 05:15,06/08/2019 22:45,2086,1961
EU50EUR,Minutes_30,03/04/2019 08:00,06/08/2019 22:30,1943,1635
EU50EUR,Minutes_5,25/04/2019 19:10,06/08/2019 22:55,4019,4757
EU50EUR,Weekly,21/09/2003 00:00,04/08/2019 00:00,829,0
EURAUD,Daily,28/05/2015 00:00,07/08/2019 00:00,1087,239
EURAUD,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
EURAUD,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
EURAUD,Minutely,05/08/2019 15:06,07/08/2019 02:45,2073,67
EURAUD,Minutes_15,24/07/2019 00:00,07/08/2019 02:45,972,0
EURAUD,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
EURAUD,Minutes_5,29/07/2019 02:25,07/08/2019 02:45,2016,5
EURAUD,Weekly,06/06/2004 00:00,04/08/2019 00:00,792,0
EURCAD,Daily,20/08/2015 00:00,07/08/2019 00:00,1027,239
EURCAD,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
EURCAD,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
EURCAD,Minutely,05/08/2019 15:59,07/08/2019 02:45,2075,12
EURCAD,Minutes_15,24/07/2019 00:00,07/08/2019 02:45,972,0
EURCAD,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
EURCAD,Minutes_5,29/07/2019 02:40,07/08/2019 02:45,2018,0
EURCAD,Weekly,06/06/2004 00:00,04/08/2019 00:00,792,0
EURCHF,Daily,20/08/2015 00:00,07/08/2019 00:00,1027,239
EURCHF,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
EURCHF,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
EURCHF,Minutely,05/08/2019 14:54,07/08/2019 02:45,2070,82
EURCHF,Minutes_15,24/07/2019 00:00,07/08/2019 02:45,972,0
EURCHF,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
EURCHF,Minutes_5,29/07/2019 02:15,07/08/2019 02:45,2018,5
EURCHF,Weekly,12/05/2002 00:00,04/08/2019 00:00,900,0
EURCZK,Daily,20/08/2015 00:00,07/08/2019 00:00,1027,239
EURCZK,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
EURCZK,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
EURCZK,Minutely,05/08/2019 13:09,07/08/2019 02:45,2067,190
EURCZK,Minutes_15,24/07/2019 00:00,07/08/2019 02:45,972,0
EURCZK,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
EURCZK,Minutes_5,29/07/2019 00:15,07/08/2019 02:45,2016,31
EURCZK,Weekly,12/05/2002 00:00,04/08/2019 00:00,900,0
EURDKK,Daily,20/08/2015 00:00,07/08/2019 00:00,1027,239
EURDKK,Hourly,05/06/2019 03:00,07/08/2019 02:00,1075,7
EURDKK,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
EURDKK,Minutely,02/08/2019 05:17,07/08/2019 02:43,2051,2112
EURDKK,Minutes_15,23/07/2019 12:30,07/08/2019 02:30,966,51
EURDKK,Minutes_30,09/07/2019 00:30,07/08/2019 02:30,998,16
EURDKK,Minutes_5,25/07/2019 14:35,07/08/2019 02:40,2039,410
EURDKK,Weekly,26/10/2003 00:00,04/08/2019 00:00,824,0
EURGBP,Daily,21/05/2015 00:00,07/08/2019 00:00,1092,239
EURGBP,Hourly,27/02/2019 08:00,07/08/2019 02:00,2166,568
EURGBP,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
EURGBP,Minutely,05/08/2019 15:05,07/08/2019 02:45,2069,72
EURGBP,Minutes_15,24/07/2019 00:00,07/08/2019 02:45,972,0
EURGBP,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
EURGBP,Minutes_5,29/07/2019 02:35,07/08/2019 02:45,2018,1
EURGBP,Weekly,12/05/2002 00:00,04/08/2019 00:00,900,0
EURHKD,Daily,20/08/2015 00:00,07/08/2019 00:00,1027,239
EURHKD,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
EURHKD,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
EURHKD,Minutely,05/08/2019 15:40,07/08/2019 02:45,2073,33
EURHKD,Minutes_15,24/07/2019 00:00,07/08/2019 02:45,972,0
EURHKD,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
EURHKD,Minutes_5,29/07/2019 02:25,07/08/2019 02:45,2016,5
EURHKD,Weekly,06/06/2004 00:00,04/08/2019 00:00,792,0
EURHUF,Daily,20/08/2015 00:00,07/08/2019 00:00,1027,239
EURHUF,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
EURHUF,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
EURHUF,Minutely,05/08/2019 14:10,07/08/2019 02:30,2051,130
EURHUF,Minutes_15,23/07/2019 23:00,07/08/2019 02:30,971,4
EURHUF,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
EURHUF,Minutes_5,26/07/2019 23:45,07/08/2019 02:30,2008,42
EURHUF,Weekly,25/01/2004 00:00,04/08/2019 00:00,811,0
EURJPY,Daily,07/05/2015 00:00,07/08/2019 00:00,1102,239
EURJPY,Hourly,20/02/2019 08:00,07/08/2019 02:00,2339,515
EURJPY,Hours_4,29/08/2018 08:00,07/08/2019 00:00,1457,5
EURJPY,Minutely,05/08/2019 15:06,07/08/2019 02:45,2074,66
EURJPY,Minutes_15,24/07/2019 00:00,07/08/2019 02:45,972,0
EURJPY,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
EURJPY,Minutes_5,29/07/2019 02:25,07/08/2019 02:45,2018,3
EURJPY,Weekly,12/05/2002 00:00,04/08/2019 00:00,900,0
EURNOK,Daily,20/08/2015 00:00,07/08/2019 00:00,1027,239
EURNOK,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
EURNOK,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
EURNOK,Minutely,05/08/2019 16:14,07/08/2019 02:45,2069,3
EURNOK,Minutes_15,24/07/2019 00:00,07/08/2019 02:45,972,0
EURNOK,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
EURNOK,Minutes_5,29/07/2019 02:40,07/08/2019 02:45,2016,2
EURNOK,Weekly,07/09/2003 00:00,04/08/2019 00:00,831,0
EURNZD,Daily,20/08/2015 00:00,07/08/2019 00:00,1027,239
EURNZD,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
EURNZD,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
EURNZD,Minutely,05/08/2019 16:13,07/08/2019 02:45,2068,5
EURNZD,Minutes_15,24/07/2019 00:00,07/08/2019 02:45,972,0
EURNZD,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
EURNZD,Minutes_5,29/07/2019 02:40,07/08/2019 02:45,2017,1
EURNZD,Weekly,06/06/2004 00:00,04/08/2019 00:00,792,0
EURPLN,Daily,20/08/2015 00:00,07/08/2019 00:00,1027,239
EURPLN,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
EURPLN,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
EURPLN,Minutely,05/08/2019 16:03,07/08/2019 02:45,2068,15
EURPLN,Minutes_15,24/07/2019 00:00,07/08/2019 02:45,972,0
EURPLN,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
EURPLN,Minutes_5,29/07/2019 02:40,07/08/2019 02:45,2018,0
EURPLN,Weekly,12/05/2002 00:00,04/08/2019 00:00,900,0
EURSEK,Daily,20/08/2015 00:00,07/08/2019 00:00,1027,239
EURSEK,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
EURSEK,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
EURSEK,Minutely,05/08/2019 16:11,07/08/2019 02:45,2068,7
EURSEK,Minutes_15,24/07/2019 00:00,07/08/2019 02:45,972,0
EURSEK,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
EURSEK,Minutes_5,29/07/2019 02:40,07/08/2019 02:45,2017,1
EURSEK,Weekly,12/05/2002 00:00,04/08/2019 00:00,900,0
EURSGD,Daily,20/08/2015 00:00,07/08/2019 00:00,1027,239
EURSGD,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
EURSGD,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
EURSGD,Minutely,05/08/2019 15:52,07/08/2019 02:45,2074,20
EURSGD,Minutes_15,24/07/2019 00:00,07/08/2019 02:45,972,0
EURSGD,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
EURSGD,Minutes_5,29/07/2019 02:40,07/08/2019 02:45,2018,0
EURSGD,Weekly,06/06/2004 00:00,04/08/2019 00:00,792,0
EURTRY,Daily,20/08/2015 00:00,07/08/2019 00:00,1027,239
EURTRY,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
EURTRY,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
EURTRY,Minutely,05/08/2019 16:17,07/08/2019 02:45,2067,2
EURTRY,Minutes_15,24/07/2019 00:00,07/08/2019 02:45,972,0
EURTRY,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
EURTRY,Minutes_5,29/07/2019 02:40,07/08/2019 02:45,2018,0
EURTRY,Weekly,18/02/2007 00:00,04/08/2019 00:00,651,0
EURUSD,Daily,07/05/2015 00:00,07/08/2019 00:00,1102,239
EURUSD,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
EURUSD,Hours_4,21/12/2009 00:00,07/08/2019 00:00,6946,3630
EURUSD,Minutely,22/04/2019 01:52,07/08/2019 02:45,4628,35285
EURUSD,Minutes_15,24/07/2019 00:00,07/08/2019 02:45,972,0
EURUSD,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
EURUSD,Minutes_5,29/07/2019 02:30,07/08/2019 02:45,2016,4
EURUSD,Weekly,12/05/2002 00:00,04/08/2019 00:00,900,0
EURZAR,Daily,20/08/2015 00:00,07/08/2019 00:00,1027,239
EURZAR,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
EURZAR,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
EURZAR,Minutely,05/08/2019 16:05,07/08/2019 02:45,2067,14
EURZAR,Minutes_15,24/07/2019 00:00,07/08/2019 02:45,972,0
EURZAR,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
EURZAR,Minutes_5,29/07/2019 02:40,07/08/2019 02:45,2017,1
EURZAR,Weekly,30/05/2004 00:00,04/08/2019 00:00,793,0
FR40EUR,Daily,06/05/2015 00:00,06/08/2019 00:00,1091,250
FR40EUR,Hourly,31/01/2019 09:00,06/08/2019 22:00,1834,1351
FR40EUR,Hours_4,02/05/2018 08:00,06/08/2019 20:00,1292,679
FR40EUR,Minutely,08/05/2019 15:54,06/08/2019 22:59,6217,15957
FR40EUR,Minutes_15,11/04/2019 13:00,06/08/2019 22:45,2056,2440
FR40EUR,Minutes_30,18/03/2019 10:00,06/08/2019 22:30,2116,2034
FR40EUR,Minutes_5,23/04/2019 19:25,06/08/2019 22:55,4059,5289
FR40EUR,Weekly,02/02/2003 00:00,04/08/2019 00:00,845,17
GBPAUD,Daily,20/08/2015 00:00,07/08/2019 00:00,1027,239
GBPAUD,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
GBPAUD,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
GBPAUD,Minutely,05/08/2019 15:39,07/08/2019 02:45,2073,34
GBPAUD,Minutes_15,24/07/2019 00:00,07/08/2019 02:45,972,0
GBPAUD,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
GBPAUD,Minutes_5,29/07/2019 02:30,07/08/2019 02:45,2018,2
GBPAUD,Weekly,06/06/2004 00:00,04/08/2019 00:00,792,0
GBPCAD,Daily,20/08/2015 00:00,07/08/2019 00:00,1027,239
GBPCAD,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
